Model,Mean Squared Error (MSE),Root Mean Squared Error (RMSE),Mean Absolute Error (MAE),R-squared (R^2),Adjusted R-squared
XGBoost,71531.1534157761,267.45308638296945,219.52507313302058,0.4571481698412402,0.4571331948248911
Gradient Boosting,71658.1238304115,267.6903506486767,220.19344251640467,0.4561845879797791,0.45616958638222815
Random Forest,74305.97187932099,272.5912175388653,206.45949251061796,0.43608999854994035,0.4360744426265337
Linear Regression,76481.0731172671,276.55211645776114,227.95349766621936,0.4195830972710465,0.4195670859911267
Ridge Regression,76487.95265088312,276.5645542199562,227.97074595789016,0.4195308883070391,0.41951487558689193
Lasso Regression,76831.8977651913,277.1856738094364,228.5307004874929,0.4169206796656224,0.41690459494071275
ElasticNet Regression,79442.69133455527,281.8557988308122,234.14438496960813,0.39710729766885766,0.3970906663754318
Decision Tree,90862.2572372614,301.4336697140208,220.15894792011477,0.31044390760900475,0.3104248856343452
